MB,Datum osnivanja,Naziv preduzeća,Mesto,Poštanski broj,Adresa,Telefon,Pravni oblik,Šifra delatnosti,Naziv delatnosti,APR Status,NBS Status,Bonitetna ocena,Veličina,Promet (RSD),Neto dobit (RSD),Broj zaposlenih,Ebit (RSD),Ebitda (RSD),Email,Zastupnik,PDV Obveznik
21135046,9/11/2015,BMC CONNECT DOO NOVI SAD,Novi Sad,21101,"BULEVAR OSLOBOĐENJA 30 A SPRAT: 1, BROJ STANA: 8",,Društvo sa ograničenom odgovornošću,4120,Izgradnja stambenih i nestambenih zgrada,Aktivan,Aktivan,C2,Malo,849835888,18451928,38,52616000,66065000,office@bmc.co.rs,Branislav Marjanović,1 mesečni
21096105,4/6/2015,ARDAGH METAL PACKAGING SERBIA D.O.O,Beograd (Novi Beograd),11073,OMLADINSKIH BRIGADA 88 SPRAT: 3,,Društvo sa ograničenom odgovornošću,7022,Konsultantske aktivnosti u vezi s poslovanjem i ostalim upravljanjem,Aktivan,Aktivan,A3,Malo,849612906,7345970,138,16353000,23359000,amb.serbia@ardaghgroup.com,LANA OBRKNEŽEVIĆ,1 mesečni
21152137,11/20/2015,SLED-RASVETA I RAZVODI D.O.O,Zrenjanin,23106,"TOŠE JOVANOVIĆA 28 SPRAT: 1, BROJ STANA: 5",,Društvo sa ograničenom odgovornošću,4669,Trgovina na veliko ostalim mašinama i opremom,Aktivan,Aktivan,D2,Malo,845862996,5141933,18,11536000,17626000,petar.simsic@gmail.com,Petar Šimšić,1 mesečni
21124583,7/29/2015,VIZIJA EXTRA,Novi Sad,21101,BULEVAR MIHAJLA PUPINA 6,,Društvo sa ograničenom odgovornošću,4690,Nespecijalizovana trgovina na veliko,Aktivan,Aktivan,A2,Malo,822872930,23811922,4,27041000,27996000,vizijaextra@gmail.com,Milun Klisura,1 mesečni
21147311,11/3/2015,EDUFARM DOO,Crvenka,25220,MOŠE PIJADE BB,255733117,Društvo sa ograničenom odgovornošću,150,Mešovita poljoprivredna proizvodnja,Aktivan,Aktivan,C3,Malo,821392909,5860911,28,78965000,137329000,info@edufarm.rs,Oliver Stanković,1 mesečni
21118885,7/3/2015,PROFIX SYSTEM DOO BEOGRAD,Beograd (Zvezdara),11050,AUTOPUT ZA NIŠ 17,641163626,Društvo sa ograničenom odgovornošću,4673,"Trgovina na veliko drvetom, građevinskim materijalom i sanitarnom opremom",Aktivan,Aktivan,B1,Malo,815008935,73896999,18,85999000,88512000,office@profixsystem.com,Sava Rastović,1 mesečni
21150169,11/13/2015,COOKINGMAX,Petrovaradin,21132,RADE KONČARA 1,,Društvo sa ograničenom odgovornošću,4690,Nespecijalizovana trgovina na veliko,Aktivan,Aktivan,D1,Malo,803971992,5655974,43,24032000,29316000,office@cookingmax.rs,Marija Šovljanski,1 mesečni
21156850,12/10/2015,ELEKTROELEMENT DOO,Novi Sad,21101,FILIPA VIŠNJIĆA 5,,Društvo sa ograničenom odgovornošću,4669,Trgovina na veliko ostalim mašinama i opremom,Aktivan,Aktivan,C3,Malo,798138968,411982,32,8201000,13389000,office@elektroelement.com,Branislav Rajković,1 mesečni
21115134,6/18/2015,DREN DISKONTNA PRODAJA D.O.O,Sevojno,31205,PRVOMAJSKA 63,31825109,Društvo sa ograničenom odgovornošću,4634,Trgovina na veliko pićima,Aktivan,Aktivan,C3,Malo,792160883,424989,38,4820000,6878000,dren.pozega@gmail.com,Aleksandra Tanasković,1 mesečni
21078921,1/30/2015,KEMOIMPEX AUTO DOO,Beograd (Savski Venac),11102,RESAVSKA 66,113612351,Društvo sa ograničenom odgovornošću,4511,Trgovina automobilima i lakim motornim vozilima,Aktivan,Aktivan,C3,Malo,771630997,15995967,23,18936000,35871000,office@kemoimpexauto.com,Stefan Ilić,1 mesečni
21085766,2/26/2015,WISSEN D.O.O. NIŠ,Niš (Mediana),18000,VOJVODE TANKOSIĆA 1K BROJ STANA: 3,184100080,Društvo sa ograničenom odgovornošću,2512,Proizvodnja metalnih vrata i prozora,Aktivan,Aktivan,C3,Malo,756331978,42594983,60,51963000,60792000,wissen@wissen.rs,Danijela Pavković,1 mesečni
21125423,8/3/2015,BIMAL BEČEJKA D.O.O,Bečej,21220,NOVOSADSKA 165,,Društvo sa ograničenom odgovornošću,1091,Proizvodnja gotove hrane za domaće životinje,Aktivan,Aktivan,B2,Malo,738372999,1460921,45,5413000,43607000,info.bimalbecejka@bimal-group.com,Bojana Lujić,1 mesečni
21158704,12/21/2015,GROUPM MEDIA COMMUNICATION SERVICES D.O.O,Beograd (Stari Grad),11158,BULEVAR VOJVODE BOJOVIĆA 6-8,,Društvo sa ograničenom odgovornošću,7311,Delatnost reklamnih agencija,Aktivan,Aktivan,B1,Malo,712613885,88427944,43,99487000,115494000,belgrade.office@groupm.com,Tijana Popović,1 mesečni
21121185,7/14/2015,YUTON D.O.O. BEOGRAD,Beograd (Vračar),11118,ŠUMATOVAČKA 8 BROJ STANA: 18,114044850,Društvo sa ograničenom odgovornošću,4690,Nespecijalizovana trgovina na veliko,Aktivan,Aktivan,C2,Malo,681620972,14521922,4,31398000,31621000,yuton@yuton.biz,Yvona Šterbová,1 mesečni
21081515,2/10/2015,EGAL STEEL DOO,Novi Sad,21000,RUMENAČKI PUT 101,62543387,Društvo sa ograničenom odgovornošću,4674,"Trgovina na veliko metalnom robom, instalacionim materijalima, opremom i priborom za grejanje",Aktivan,Aktivan,C3,Malo,663601884,17362916,9,24134000,26515000,office@egalsteel.com,Aleksandar Cvetković,1 mesečni
21091774,3/19/2015,N.J.S. GROUP DOO,Kukići,32224,STARI PUT ZA KRALJEVO 47,325590881,Društvo sa ograničenom odgovornošću,1089,Proizvodnja ostalih prehrambenih proizvoda,Aktivan,Aktivan,A3,Malo,658097883,175335912,38,223940000,238720000,mdizvestaji@gmail.com,Nevena Tankosić,1 mesečni
21098213,4/15/2015,EMBROKER BG D.O.O,Beograd (Vračar),11118,RUDNIČKA 14,,Društvo sa ograničenom odgovornošću,6201,Računarsko programiranje,Aktivan,Aktivan,A1,Malo,648640911,12908909,108,21901000,32328000,legal@embroker.com,Brian Michael Acks,1 mesečni
21112984,6/10/2015,GRANOLIA DOO,Novi Sad,21102,"NARODNOG FRONTA 21 SPRAT: 2, BROJ STANA: 207",,Društvo sa ograničenom odgovornošću,4621,"Trgovina na veliko žitom, sirovim duvanom, semenjem i hranom za životinje",Aktivan,Aktivan,E1,Malo,645821946,-4141973,3,-2774000,-1176000,info@granolia.com,Dragan Popović,1 mesečni
21124877,7/30/2015,SDPS D.O.O. BEOGRAD,Beograd (Palilula),11158,VILINE VODE 47,,Društvo sa ograničenom odgovornošću,8899,Ostala nepomenuta socijalna zaštita bez smeštaja,Aktivan,Aktivan,D2,Malo,618795950,4072957,43,9065000,10748000,office@sdps.rs,Predrag Bubalo,1 mesečni
21075680,1/20/2015,TESLA KABELI,Beograd (Zemun),11080,BATAJNIČKI DRUM 10 DEO 1,114143444,Društvo sa ograničenom odgovornošću,4690,Nespecijalizovana trgovina na veliko,Aktivan,Aktivan,C1,Malo,617883987,3232939,8,6150000,6744000,slobodan.stankovic@teslacables.com,Slobodan Stanković,1 mesečni
21132705,9/3/2015,KING GAS D.O.O,Beograd (Vračar),11111,NJEGOŠEVA 28A,,Društvo sa ograničenom odgovornošću,4671,"Trgovina na veliko čvrstim, tečnim i gasovitim gorivima i sličnim proizvodima",Aktivan,Aktivan,B1,Malo,617595974,88029905,3,97608000,100885000,office@kinggas.co.rs,Valentina Katić,1 mesečni
21079308,2/2/2015,DRINKS HELL DOO,Beograd (Novi Beograd),11073,"JURIJA GAGARINA 14A SPRAT: 06, BROJ STANA: 39",,Društvo sa ograničenom odgovornošću,4634,Trgovina na veliko pićima,Aktivan,Aktivan,E2,Malo,615171884,-251829950,27,-40385000,-33563000,officesrb@hellenergy.com,Tomaš Grosch,1 mesečni
21156078,12/8/2015,HAVAS ADRIATIC D.O.O,Beograd (Vračar),11111,KOČE KAPETANA 47,,Društvo sa ograničenom odgovornošću,7311,Delatnost reklamnih agencija,Aktivan,Aktivan,C1,Malo,614264960,5663942,21,12155000,13910000,office.serbia@havasmedia.com,Alexandre Bruce Milicevic,1 mesečni
21150380,11/16/2015,AGENCIJA ZA PRIVREMENO ZAPOŠLJAVANJE ABA GROUP DOO,Beograd (Savski Venac),11102,BIRČANINOVA 27,,Društvo sa ograničenom odgovornošću,7830,Ostalo ustupanje ljudskih resursa,Aktivan,Aktivan,C2,Malo,599347928,1756902,737,-13234000,-11431000,office@abagroup.rs,Jelena Lepšanović,1 mesečni
21161306,12/31/2015,ROLOPLAST 1964 DOO LAĆARAK,Laćarak,22221,PRVOG NOVEMBRA 275,,Društvo sa ograničenom odgovornošću,1623,Proizvodnja ostale građevinske stolarije i elemenata,Aktivan,Aktivan,B3,Malo,595026913,22888944,66,27788000,40090000,branka.colic@roloplastmosic.rs,Željko Mošić,1 mesečni
21138738,9/29/2015,IBC NANOTEX SRB DOO,Beograd (Novi Beograd),11073,"JURIJA GAGARINA 20Đ SPRAT: 12, BROJ STANA: 67",,Društvo sa ograničenom odgovornošću,4690,Nespecijalizovana trgovina na veliko,Aktivan,Aktivan,A3,Malo,586429996,144787908,10,171190000,173799000,info@ibcnanotex.rs,Milenko Kovačević,1 mesečni
21123293,7/23/2015,JABLANOVICA,Raška,36350,SAVATIJA MILOŠEVIĆA 14-16,659099909,Društvo sa ograničenom odgovornošću,3831,Demontaža olupina,Aktivan,Aktivan,B2,Malo,581406994,98901984,23,146974000,173688000,jablanovica9@gmail.com,Željko Vilimonović,1 mesečni
21085405,2/25/2015,SUFRUIT,Donji Tavankut,24214,RADE KONČARA BB,,Društvo sa ograničenom odgovornošću,4631,Trgovina na veliko voćem i povrćem,Aktivan,Aktivan,C2,Malo,576391959,20047951,10,30846000,37513000,bojanamandic84@gmail.com,Branko Vizin,1 mesečni
21160890,12/29/2015,WKG,Kragujevac,34203,KORMANSKI PUT 3,,Društvo sa ograničenom odgovornošću,2511,Proizvodnja metalnih konstrukcija i delova konstrukcija,Aktivan,Aktivan,B3,Malo,570600884,13932890,87,22164000,45910000,aleksandar@wkg.rs,Aleksandar Ćurčić,1 mesečni
21154113,11/30/2015,NATURA LAND DOO NOVI SAD,Novi Sad,21101,SONJE MARINKOVIĆ 9,62790118,Društvo sa ograničenom odgovornošću,4690,Nespecijalizovana trgovina na veliko,Aktivan,Aktivan,B1,Malo,566182966,25277999,4,46666000,48896000,info@naturaland.rs,Duško Prodanov,1 mesečni
21105643,5/13/2015,BAVARIA TEAM DOO,Čačak,32102,MORAVSKA 11,668002002,Društvo sa ograničenom odgovornošću,7120,Tehničko ispitivanje i analize,Aktivan,Aktivan,B1,Malo,564593974,3980976,10,1560000,17939000,office@bavariateam.rs,Milica Mijailović,1 mesečni
21087327,3/4/2015,PERHEM 2015 DOO PARAĆIN,Paraćin,35250,BORE PETROVIĆA 42,,Društvo sa ograničenom odgovornošću,4644,"Trgovina na veliko porculanom, staklenom robom i sredstvima za čišćenje",Aktivan,Aktivan,B2,Malo,557216952,20266949,7,26030000,26973000,perhem2015@hotmail.com,Miloš Perić,1 mesečni
21139645,10/1/2015,FOCUS STRATEGIES,Beograd (Zemun),11080,"MARIJE BURSAĆ 44G SPRAT: 3, BROJ STANA: 36",114384205,Društvo sa ograničenom odgovornošću,4690,Nespecijalizovana trgovina na veliko,Aktivan,Aktivan,B1,Malo,553391934,280081935,6,334523000,336295000,emir.smajilovic@focusstrategies.rs,Emir Smajilović,1 mesečni
21104396,5/7/2015,MERIN ASSET MANAGEMENT,Beograd (Novi Beograd),11073,MILUTINA MILANKOVIĆA 11V,117858988,Društvo sa ograničenom odgovornošću,6832,Upravljanje nekretninama za naknadu,Aktivan,Aktivan,A3,Malo,547429902,90144891,20,109715000,120944000,office@merin.rs,Dragana Slipčević,1 mesečni
21151203,11/18/2015,ENT MILLER SERVICES DOO,Beograd (Zvezdara),11120,MILANA RAKIĆA 16A,,Društvo sa ograničenom odgovornošću,4399,Ostali nepomenuti specifični građevinski radovi,Aktivan,Aktivan,C2,Malo,543817905,11001907,13,14471000,19456000,office@entmiller.com,Siniša Đekić,1 mesečni
21159786,12/24/2015,VTOOL DOO,Beograd (Čukarica),11030,BLAGOJA PAROVIĆA 103,,Društvo sa ograničenom odgovornošću,6201,Računarsko programiranje,Aktivan,Aktivan,A3,Malo,543233911,23201915,82,28298000,32301000,office@thevtool.com,Hagai Yonatan Arbel,1 mesečni
21100803,4/23/2015,VARING IZGRADNJA DOO,Niš (Mediana),18000,KATIĆEVA 2,,Društvo sa ograničenom odgovornošću,4120,Izgradnja stambenih i nestambenih zgrada,Aktivan,Aktivan,C2,Malo,541579887,27021895,21,30826000,33016000,varingnis@gmail.com,Branislav Mišić,1 mesečni
21084468,2/23/2015,VOPACHEL DOO,Šabac,15000,SEVERNA 4 5,,Društvo sa ograničenom odgovornošću,2221,"Proizvodnja ploča, listova, cevi i profila od plastike",Aktivan,Aktivan,D1,Malo,535045930,-31731926,21,-7168000,33662000,info@vopachel.rs,Filippo Fedalto,1 mesečni
21108782,5/25/2015,CONCORD STEEL DOO,Beograd (Palilula),11211,ZRENJANINSKI PUT 150 A,695431859,Društvo sa ograničenom odgovornošću,8121,Usluge redovnog čišćenja zgrada,Aktivan,Aktivan,B1,Malo,528053941,62080969,165,73119000,74875000,concordsteel10@gmail.com,Nevena Tabajica,1 mesečni
21137049,9/21/2015,A SPORT DD,Beograd (Novi Beograd),11197,"JURIJA GAGARINA 151, LOKAL 27",,Društvo sa ograničenom odgovornošću,4771,Trgovina na malo odećom u specijalizovanim prodavnicama,Aktivan,Aktivan,B1,Malo,525953954,65971956,89,75780000,76456000,ivana.sekulic72@gmail.com,Ivana Sekulić,1 mesečni
21096776,4/8/2015,TECHNOSTEEL & CONSULTING,Ruma,22400,INDUSTRIJSKA 37,,Društvo sa ograničenom odgovornošću,2891,Proizvodnja mašina za metalurgiju,Aktivan,Aktivan,C2,Malo,523514984,10438887,46,19012000,37769000,maja.stojakovic@technosteel.pro,Fabio Bianco,1 mesečni
21099317,4/17/2015,ALEF DISTRIBUCIJA ADRIA,Beograd (Novi Beograd),11070,BULEVAR MIHAJLA PUPINA 115D,114240521,Društvo sa ograničenom odgovornošću,4651,"Trgovina na veliko računarima, računarskom opremom i softverima",Aktivan,Aktivan,E2,Malo,522241891,2362924,10,-2455000,-1447000,rs-office@alef.com,Marek Mišák,1 mesečni
21137685,9/23/2015,SMARTCAT DOO,Novi Sad,21000,STRAŽILOVSKA 2,655522979,Društvo sa ograničenom odgovornošću,6201,Računarsko programiranje,Aktivan,Aktivan,A2,Malo,519920915,50996923,70,62891000,67899000,info@smartcat.io,Nenad Božić,1 mesečni
21114910,6/17/2015,EXPERT AUTOMOTIVE SYSTEMS DOO,Priboj,31330,RADNIČKA BB,654011310,Društvo sa ograničenom odgovornošću,2932,Proizvodnja ostalih delova i dodatne opreme za motorna vozila,Aktivan,Aktivan,A1,Malo,516259940,94411888,46,105497000,119369000,,Samir Rustemović,1 mesečni
21110744,6/1/2015,KOPERATIV DOO,Bočar,23274,BOČARSKI DRUM 3,,Društvo sa ograničenom odgovornošću,2014,Proizvodnja ostalih osnovnih organskih hemikalija,Aktivan,Aktivan,C1,Malo,512538972,17236954,6,41412000,44457000,koperativdoo@gmail.com,Ivan Kolarov,1 mesečni
21143898,10/19/2015,AS PRODUKT 2006 DOO,Raška,36350,SAVATIJA MILOŠEVIĆA 16,36733131,Društvo sa ograničenom odgovornošću,2593,"Proizvodnja žičanih proizvoda, lanaca i opruga",Aktivan,Aktivan,B2,Malo,508367940,36976973,48,47482000,54596000,asprodukt2006@gmail.com,Bojan Radulović,1 mesečni
21119113,7/6/2015,NEW FRONTIER INNOVA D.O.O. BEOGRAD,Beograd (Novi Beograd),11070,BULEVAR ZORANA ĐINĐIĆA 64A SPRAT: 2,113109700,Društvo sa ograničenom odgovornošću,6201,Računarsko programiranje,Aktivan,Aktivan,C3,Malo,505535968,71711944,71,73814000,76615000,office@nfinnova.com,Gregor Bierent,1 mesečni
21097055,4/8/2015,PHYTONET DOO,Beograd (Rakovica),11090,STEVANA OPAČIĆA 4/4,62534605,Društvo sa ograničenom odgovornošću,1086,Proizvodnja homogenizovanih hranljivih preparata i dijetetske hrane,Aktivan,Aktivan,B2,Malo,490377910,72418970,36,89149000,98003000,bpavlovic@phytonet.com,Bojan Pavlović,1 mesečni
21106437,5/15/2015,DE-VAS PROJECT DOO,Turija,21215,SAVE KOVAČEVIĆA 36,654466400,Društvo sa ograničenom odgovornošću,4120,Izgradnja stambenih i nestambenih zgrada,Aktivan,Aktivan,C1,Malo,487616946,31136918,2,27132000,28355000,trigon.investns@gmail.com,Dejan Vasić,1 mesečni
21152773,11/24/2015,BOKI PLUS DOO,Prevalac,17542,PREVALAC BB,,Društvo sa ograničenom odgovornošću,4711,"Trgovina na malo u nespecijalizovanim prodavnicama, pretežno hranom, pićima i duvanom",Aktivan,Aktivan,A3,Malo,483070958,22451887,20,29302000,32248000,boki866@mts.rs,Goran Anđelković,1 mesečni
21122785,7/21/2015,AGROPROMET KESER DOO,Vojvoda Stepa,23219,RAŠINA 29,692422120,Društvo sa ograničenom odgovornošću,4690,Nespecijalizovana trgovina na veliko,Aktivan,Aktivan,B3,Malo,466990977,5054990,5,3254000,3485000,danijelakeservs@gmail.com,Danijela Keser,1 mesečni
21144860,10/22/2015,DONAUCHEM D.O.O,Beograd (Novi Beograd),11070,BULEVAR MIHAJLA PUPINA 10Z,,Društvo sa ograničenom odgovornošću,4675,Trgovina na veliko hemijskim proizvodima,Aktivan,Aktivan,B2,Malo,462017891,18594997,3,29528000,30599000,dusko.mihailovic@donauchem.com,Duško Mihailović,1 mesečni
21082244,2/12/2015,ALLUCENT DOO,Beograd (Novi Beograd),11073,ĐORĐA STANOJEVIĆA 14,,Društvo sa ograničenom odgovornošću,7219,Istraživanje i razvoj u ostalim prirodnim i tehničko-tehnološkim naukama,Aktivan,Aktivan,A2,Malo,460819907,19248943,53,22778000,24444000,officeserbia@allucent.com,Petar Turčinović,1 mesečni
21137995,9/24/2015,MAXX MOBILITY D.O.O.,Beograd (Novi Beograd),11073,OMLADINSKIH BRIGADA 90V,114005111,Društvo sa ograničenom odgovornošću,7711,Iznajmljivanje i lizing automobila i lakih motornih vozila,Aktivan,Aktivan,D1,Malo,447729964,4479902,4,25584000,274727000,office@maxxmobility.com,Ivan Mitić,1 mesečni
21128651,8/17/2015,LEDENA LOZICA DOO LOZNICA,Loznica,15300,REPUBLIKE SRPSKE BB,15874442,Društvo sa ograničenom odgovornošću,1039,Ostala prerada i konzervisanje voća i povrća,Aktivan,Aktivan,D1,Malo,447375982,2941997,17,13820000,20438000,office@ledena-lozica.rs,Dejan Mladenović,1 mesečni
21143022,10/15/2015,ŠMEK-KOMERC D.O.O. VETERNIK,Veternik,21203,OBROVAČKA 17,15513265,Društvo sa ograničenom odgovornošću,4623,Trgovina na veliko životinjama,Aktivan,Aktivan,B2,Malo,440689934,26801960,6,31728000,33892000,smekkomerc@gmail.com,Aleksandar Vujanović,1 mesečni
21100340,4/22/2015,DRVO SISTEM 07 DOO,Dublje,15359,KARAĐORĐEVA 80,,Društvo sa ograničenom odgovornošću,4673,"Trgovina na veliko drvetom, građevinskim materijalom i sanitarnom opremom",Aktivan,Aktivan,B3,Malo,440612951,16335888,40,24714000,29546000,djelikic@gmail.com,Dejan Jelikić,1 mesečni
21102750,4/30/2015,KONSTRAKTA BAU DOO,Beograd (Novi Beograd),11070,AUTOPUT ZA ZAGREB BB,62558431,Društvo sa ograničenom odgovornošću,4673,"Trgovina na veliko drvetom, građevinskim materijalom i sanitarnom opremom",Aktivan,Aktivan,B1,Malo,434516989,27569917,5,29123000,29594000,office@konstrakta.rs,Mirjana Starčević,1 mesečni
21138959,9/29/2015,REMEX D.O.O.,Beograd (Zemun),11283,ZIRE ADAMOVIĆA 4 B,,Društvo sa ograničenom odgovornošću,4663,Trgovina na veliko rudarskim i građevinskim mašinama,Aktivan,Aktivan,D1,Malo,433764968,2595983,7,5616000,5817000,office@remex.rs,Redžvel Mešković,1 mesečni
21122157,7/17/2015,RMJM D.O.O. BEOGRAD,Beograd (Novi Beograd),11187,BULEVAR ARSENIJA ČARNOJEVIĆA 59G SPRAT: 6,,Društvo sa ograničenom odgovornošću,7111,Arhitektonska delatnost,Aktivan,Aktivan,B3,Malo,430865973,17817901,52,23980000,36925000,serbia@rmjm.com,Goran Nikolić,1 mesečni
21104221,5/7/2015,STRONG DISTRIBUTION,Beograd (Zemun),11273,MIROSLAVA RADIVOJEVIĆA 20,63328621,Društvo sa ograničenom odgovornošću,4639,"Nespecijalizovana trgovina na veliko hranom, pićima i duvanom",Aktivan,Aktivan,D1,Malo,421484930,14653977,28,34370000,37864000,strongdoo.office@gmail.com,Ivan Kostić,1 mesečni
21130460,8/25/2015,FRONTEGA GROUP D.O.O. BEOGRAD,Beograd (Čukarica),11030,BORE STANKOVIĆA 13A,,Društvo sa ograničenom odgovornošću,4690,Nespecijalizovana trgovina na veliko,Aktivan,Aktivan,C2,Malo,412100957,20539963,4,23842000,24749000,officefrontega@gmail.com,Miloš Jevtić,1 mesečni
21141178,10/8/2015,PD RECIKLAŽNI CENTAR M.M.L. DOO GROCKA,Leštane,11309,BRANISLAVA NUŠIĆA 2A,113475180,Društvo sa ograničenom odgovornošću,3832,Ponovna upotreba razvrstanih materijala,Aktivan,Aktivan,B2,Malo,411779901,20981942,8,84800000,89758000,reciklazni.sis.mml@gmail.com,Jelena Lukić,1 mesečni
21128007,8/13/2015,L Q A,Mošorin,21245,KOSOVSKA 55,694291114,Društvo sa ograničenom odgovornošću,4941,Drumski prevoz tereta,Aktivan,Aktivan,A2,Malo,408726940,60758898,7,74543000,85408000,queen.anja.ns@gmail.com,Živko Milutin,1 mesečni
21103853,5/6/2015,ELECTUS DOO BEOGRAD,Beograd (Zvezdara),11160,"IVANA SARIĆA 4 SPRAT: 2, BROJ STANA: 8",638770784,Društvo sa ograničenom odgovornošću,6202,Konsultantske delatnosti u oblasti informacione tehnologije,Aktivan,Aktivan,A3,Malo,408572974,52100934,9,60981000,66857000,natasa.cvetic@electus.rs,Nataša Kovač-Cvetić,1 mesečni
